transaction_id,transaction_timestamp,transaction_type,merchant_category,amount,transaction_status,sender_age_group,receiver_age_group,sender_state,sender_bank,receiver_bank,device_type,network_type,fraud_flag,year,month,month_name,quarter,transaction_date
374,08-03-2024 17:03,P2M,Grocery,2392,SUCCESS,18-25,26-35,Gujarat,SBI,Axis,Android,3G,0,2024,3,March,Q1,08-03-2024
375,10-12-2024 22:55,P2P,Transport,35,SUCCESS,18-25,26-35,Andhra Pradesh,HDFC,Axis,Android,3G,0,2024,12,December,Q4,10-12-2024
376,31-05-2024 08:03,P2P,Other,607,SUCCESS,18-25,26-35,Karnataka,HDFC,SBI,Android,4G,0,2024,5,May,Q2,31-05-2024
377,14-12-2024 19:46,Bill Payment,Other,202,SUCCESS,36-45,26-35,Maharashtra,IndusInd,HDFC,iOS,4G,0,2024,12,December,Q4,14-12-2024
378,15-11-2024 10:05,P2M,Grocery,1685,SUCCESS,36-45,36-45,Karnataka,HDFC,IndusInd,Android,3G,0,2024,11,November,Q4,15-11-2024
379,07-02-2024 17:25,P2M,Shopping,4692,SUCCESS,26-35,46-55,Uttar Pradesh,HDFC,SBI,Web,5G,0,2024,2,February,Q1,07-02-2024
380,01-09-2024 19:12,P2P,Transport,667,SUCCESS,46-55,18-25,Rajasthan,SBI,SBI,Android,4G,0,2024,9,September,Q3,01-09-2024
381,21-11-2024 17:36,P2P,Food,1016,SUCCESS,36-45,26-35,Karnataka,Yes Bank,SBI,Android,4G,0,2024,11,November,Q4,21-11-2024
382,10-07-2024 22:00,P2M,Shopping,443,SUCCESS,18-25,36-45,Andhra Pradesh,SBI,Axis,Web,5G,0,2024,7,July,Q3,10-07-2024
383,11-11-2024 20:29,Recharge,Food,365,SUCCESS,36-45,36-45,Maharashtra,Yes Bank,HDFC,iOS,WiFi,0,2024,11,November,Q4,11-11-2024
384,14-09-2024 20:21,P2P,Other,1080,SUCCESS,46-55,36-45,Uttar Pradesh,Kotak,Axis,Web,4G,0,2024,9,September,Q3,14-09-2024
385,20-03-2024 19:29,P2P,Other,484,SUCCESS,18-25,18-25,Tamil Nadu,HDFC,SBI,Android,5G,0,2024,3,March,Q1,20-03-2024
386,09-05-2024 21:19,P2P,Shopping,391,FAILED,26-35,18-25,Delhi,HDFC,IndusInd,iOS,WiFi,0,2024,5,May,Q2,09-05-2024
387,25-07-2024 16:56,P2M,Fuel,4022,SUCCESS,36-45,18-25,Telangana,ICICI,IndusInd,iOS,5G,0,2024,7,July,Q3,25-07-2024
388,31-03-2024 19:15,P2M,Fuel,1352,SUCCESS,26-35,36-45,Uttar Pradesh,HDFC,HDFC,Web,4G,0,2024,3,March,Q1,31-03-2024
389,07-05-2024 14:25,P2P,Entertainment,573,SUCCESS,26-35,26-35,Rajasthan,IndusInd,Kotak,iOS,4G,0,2024,5,May,Q2,07-05-2024
390,20-05-2024 16:37,P2M,Shopping,1008,SUCCESS,36-45,18-25,Uttar Pradesh,SBI,ICICI,Android,4G,0,2024,5,May,Q2,20-05-2024
391,17-05-2024 17:05,P2P,Grocery,1957,SUCCESS,26-35,26-35,Maharashtra,Yes Bank,ICICI,Android,5G,0,2024,5,May,Q2,17-05-2024
392,21-01-2024 00:32,P2M,Entertainment,410,SUCCESS,26-35,18-25,Tamil Nadu,SBI,Yes Bank,Android,4G,0,2024,1,January,Q1,21-01-2024
393,18-12-2024 19:38,P2P,Utilities,3267,FAILED,46-55,46-55,Tamil Nadu,HDFC,Yes Bank,Android,4G,0,2024,12,December,Q4,18-12-2024
394,26-09-2024 19:35,P2P,Food,1825,SUCCESS,26-35,36-45,Tamil Nadu,IndusInd,PNB,iOS,5G,0,2024,9,September,Q3,26-09-2024
395,30-05-2024 16:34,P2M,Healthcare,258,SUCCESS,18-25,46-55,Gujarat,ICICI,Kotak,Android,WiFi,0,2024,5,May,Q2,30-05-2024
396,24-05-2024 07:06,Bill Payment,Education,1461,SUCCESS,36-45,36-45,Maharashtra,Kotak,Axis,Android,4G,0,2024,5,May,Q2,24-05-2024
397,28-12-2024 17:19,P2P,Grocery,431,SUCCESS,56+,18-25,Uttar Pradesh,ICICI,Kotak,Android,4G,0,2024,12,December,Q4,28-12-2024
398,12-01-2024 19:37,P2M,Utilities,326,SUCCESS,46-55,46-55,Telangana,ICICI,Axis,iOS,4G,0,2024,1,January,Q1,12-01-2024
399,08-06-2024 18:35,P2M,Other,479,SUCCESS,56+,18-25,Tamil Nadu,Axis,IndusInd,Android,4G,0,2024,6,June,Q2,08-06-2024
400,28-07-2024 14:39,P2M,Shopping,2159,SUCCESS,18-25,18-25,Delhi,SBI,HDFC,Web,4G,0,2024,7,July,Q3,28-07-2024
401,21-03-2024 09:03,Recharge,Fuel,960,SUCCESS,26-35,18-25,Tamil Nadu,ICICI,HDFC,Android,4G,0,2024,3,March,Q1,21-03-2024
402,09-09-2024 18:31,Bill Payment,Fuel,587,SUCCESS,26-35,46-55,Delhi,HDFC,SBI,Android,4G,0,2024,9,September,Q3,09-09-2024
403,30-09-2024 16:46,P2P,Entertainment,179,SUCCESS,56+,26-35,Telangana,ICICI,ICICI,Android,5G,0,2024,9,September,Q3,30-09-2024
404,03-05-2024 18:59,P2M,Grocery,238,SUCCESS,18-25,56+,Maharashtra,Yes Bank,SBI,iOS,WiFi,0,2024,5,May,Q2,03-05-2024
405,02-01-2024 15:10,P2M,Shopping,6083,SUCCESS,26-35,18-25,Delhi,SBI,SBI,Android,4G,0,2024,1,January,Q1,02-01-2024
406,07-09-2024 22:53,Bill Payment,Shopping,1612,SUCCESS,36-45,26-35,Karnataka,SBI,ICICI,iOS,4G,0,2024,9,September,Q3,07-09-2024
407,30-09-2024 16:53,P2P,Healthcare,459,SUCCESS,18-25,18-25,Gujarat,IndusInd,Axis,Android,4G,0,2024,9,September,Q3,30-09-2024
408,30-09-2024 15:07,P2P,Entertainment,369,SUCCESS,36-45,18-25,West Bengal,SBI,SBI,Android,5G,0,2024,9,September,Q3,30-09-2024
409,11-08-2024 13:29,P2P,Other,469,SUCCESS,26-35,46-55,Tamil Nadu,Kotak,Axis,Android,5G,0,2024,8,August,Q3,11-08-2024
410,02-01-2024 21:25,P2P,Grocery,420,SUCCESS,36-45,26-35,Telangana,HDFC,Axis,Android,5G,0,2024,1,January,Q1,02-01-2024
411,13-04-2024 06:30,P2P,Healthcare,406,SUCCESS,36-45,46-55,Uttar Pradesh,HDFC,Axis,Android,4G,0,2024,4,April,Q2,13-04-2024
412,23-02-2024 18:33,P2M,Other,358,SUCCESS,18-25,18-25,Delhi,Yes Bank,HDFC,Android,4G,0,2024,2,February,Q1,23-02-2024
413,14-10-2024 17:40,Bill Payment,Utilities,3508,SUCCESS,26-35,18-25,Andhra Pradesh,Yes Bank,HDFC,Android,3G,0,2024,10,October,Q4,14-10-2024
414,15-09-2024 10:03,P2M,Fuel,1869,SUCCESS,18-25,46-55,West Bengal,Axis,Axis,iOS,4G,0,2024,9,September,Q3,15-09-2024
415,05-07-2024 18:32,P2M,Grocery,514,SUCCESS,26-35,36-45,Karnataka,Yes Bank,Kotak,Android,3G,0,2024,7,July,Q3,05-07-2024
416,08-08-2024 20:13,P2P,Utilities,1980,SUCCESS,26-35,26-35,Telangana,IndusInd,SBI,iOS,4G,0,2024,8,August,Q3,08-08-2024
417,23-10-2024 20:12,Bill Payment,Grocery,320,SUCCESS,56+,36-45,Uttar Pradesh,Kotak,IndusInd,Android,WiFi,0,2024,10,October,Q4,23-10-2024
418,28-10-2024 20:40,P2P,Food,651,SUCCESS,26-35,26-35,Telangana,SBI,ICICI,Android,4G,0,2024,10,October,Q4,28-10-2024
419,07-11-2024 20:03,Bill Payment,Shopping,199,SUCCESS,18-25,36-45,Tamil Nadu,Axis,PNB,Android,5G,0,2024,11,November,Q4,07-11-2024
420,29-08-2024 15:10,P2M,Utilities,3091,SUCCESS,46-55,36-45,Delhi,IndusInd,IndusInd,Android,4G,0,2024,8,August,Q3,29-08-2024
421,11-07-2024 20:19,P2P,Shopping,165,SUCCESS,46-55,46-55,Delhi,Kotak,IndusInd,Android,WiFi,0,2024,7,July,Q3,11-07-2024
422,08-09-2024 17:14,P2P,Grocery,250,SUCCESS,18-25,26-35,Maharashtra,Yes Bank,IndusInd,Android,4G,0,2024,9,September,Q3,08-09-2024
423,24-04-2024 23:19,P2P,Transport,351,SUCCESS,36-45,46-55,Delhi,HDFC,HDFC,Android,4G,0,2024,4,April,Q2,24-04-2024
424,11-12-2024 21:48,P2P,Shopping,1862,SUCCESS,36-45,46-55,Maharashtra,Kotak,HDFC,Android,4G,0,2024,12,December,Q4,11-12-2024
425,03-09-2024 14:57,P2M,Food,1332,SUCCESS,26-35,36-45,Karnataka,HDFC,ICICI,Android,5G,0,2024,9,September,Q3,03-09-2024
426,02-01-2024 19:51,P2P,Shopping,932,FAILED,36-45,18-25,Andhra Pradesh,IndusInd,HDFC,Web,5G,0,2024,1,January,Q1,02-01-2024
427,28-06-2024 18:14,P2P,Utilities,3014,SUCCESS,26-35,26-35,Rajasthan,SBI,HDFC,Android,4G,0,2024,6,June,Q2,28-06-2024
428,19-03-2024 18:50,P2M,Grocery,301,SUCCESS,56+,18-25,Maharashtra,HDFC,HDFC,Android,4G,0,2024,3,March,Q1,19-03-2024
429,18-10-2024 01:02,P2P,Healthcare,368,SUCCESS,46-55,36-45,Maharashtra,HDFC,Yes Bank,iOS,5G,0,2024,10,October,Q4,18-10-2024
430,22-03-2024 05:15,P2M,Other,757,SUCCESS,26-35,26-35,Maharashtra,HDFC,SBI,Android,4G,0,2024,3,March,Q1,22-03-2024
431,05-12-2024 12:17,P2M,Food,241,SUCCESS,18-25,36-45,Maharashtra,HDFC,ICICI,Android,4G,0,2024,12,December,Q4,05-12-2024
432,27-10-2024 13:16,P2M,Food,83,SUCCESS,26-35,36-45,Telangana,ICICI,HDFC,Android,4G,0,2024,10,October,Q4,27-10-2024
433,02-11-2024 15:11,P2M,Other,197,SUCCESS,18-25,26-35,Maharashtra,SBI,SBI,Android,4G,0,2024,11,November,Q4,02-11-2024
434,29-11-2024 19:02,P2M,Entertainment,378,SUCCESS,36-45,18-25,Maharashtra,SBI,SBI,Android,4G,0,2024,11,November,Q4,29-11-2024
435,14-04-2024 15:43,Bill Payment,Other,634,FAILED,26-35,18-25,Tamil Nadu,ICICI,SBI,iOS,WiFi,0,2024,4,April,Q2,14-04-2024
436,25-05-2024 21:34,P2P,Other,604,SUCCESS,26-35,46-55,Rajasthan,ICICI,SBI,Android,5G,0,2024,5,May,Q2,25-05-2024
437,12-06-2024 21:21,Bill Payment,Food,738,SUCCESS,36-45,26-35,Rajasthan,ICICI,ICICI,Android,5G,0,2024,6,June,Q2,12-06-2024
438,09-06-2024 21:35,P2P,Grocery,1898,SUCCESS,26-35,26-35,Delhi,HDFC,IndusInd,iOS,WiFi,0,2024,6,June,Q2,09-06-2024
439,17-11-2024 22:50,P2M,Shopping,213,SUCCESS,36-45,36-45,Karnataka,SBI,SBI,Android,4G,0,2024,11,November,Q4,17-11-2024
440,24-02-2024 19:52,P2P,Healthcare,122,SUCCESS,18-25,46-55,West Bengal,IndusInd,Yes Bank,Android,4G,0,2024,2,February,Q1,24-02-2024
441,28-09-2024 12:30,P2M,Healthcare,160,SUCCESS,18-25,56+,Uttar Pradesh,SBI,IndusInd,Android,4G,0,2024,9,September,Q3,28-09-2024
442,07-03-2024 19:16,P2P,Shopping,1575,SUCCESS,26-35,36-45,Maharashtra,Axis,SBI,iOS,4G,0,2024,3,March,Q1,07-03-2024
443,28-03-2024 08:35,P2M,Utilities,15583,SUCCESS,26-35,18-25,Telangana,HDFC,ICICI,Android,5G,0,2024,3,March,Q1,28-03-2024
444,13-04-2024 09:59,P2P,Shopping,2950,SUCCESS,46-55,36-45,Telangana,SBI,HDFC,Android,4G,0,2024,4,April,Q2,13-04-2024
445,05-08-2024 18:11,Recharge,Shopping,135,SUCCESS,36-45,36-45,Karnataka,SBI,SBI,Android,4G,0,2024,8,August,Q3,05-08-2024
446,04-10-2024 13:06,Bill Payment,Shopping,367,SUCCESS,18-25,36-45,Uttar Pradesh,IndusInd,SBI,Android,4G,0,2024,10,October,Q4,04-10-2024
447,24-10-2024 18:48,P2M,Shopping,1788,SUCCESS,46-55,18-25,Delhi,HDFC,Kotak,iOS,4G,0,2024,10,October,Q4,24-10-2024
448,22-04-2024 18:11,Bill Payment,Grocery,137,SUCCESS,36-45,26-35,West Bengal,SBI,Yes Bank,Android,5G,0,2024,4,April,Q2,22-04-2024
449,10-06-2024 16:32,P2P,Fuel,1260,SUCCESS,26-35,26-35,Delhi,HDFC,HDFC,iOS,5G,0,2024,6,June,Q2,10-06-2024
450,21-05-2024 19:45,P2P,Fuel,837,SUCCESS,26-35,18-25,Gujarat,ICICI,SBI,Web,4G,0,2024,5,May,Q2,21-05-2024
451,04-01-2024 07:18,P2P,Education,1051,SUCCESS,18-25,36-45,Delhi,ICICI,SBI,Android,4G,0,2024,1,January,Q1,04-01-2024
452,03-10-2024 10:31,P2M,Entertainment,322,FAILED,18-25,26-35,Maharashtra,SBI,SBI,iOS,5G,0,2024,10,October,Q4,03-10-2024
453,31-10-2024 17:57,Bill Payment,Grocery,476,SUCCESS,26-35,46-55,Telangana,Axis,Axis,Android,4G,0,2024,10,October,Q4,31-10-2024
454,19-02-2024 20:13,Recharge,Entertainment,588,SUCCESS,56+,18-25,Gujarat,SBI,PNB,Android,4G,0,2024,2,February,Q1,19-02-2024
455,27-10-2024 09:40,P2M,Healthcare,383,SUCCESS,46-55,36-45,Telangana,PNB,SBI,iOS,5G,0,2024,10,October,Q4,27-10-2024
456,23-06-2024 19:11,P2M,Food,100,SUCCESS,46-55,26-35,Telangana,IndusInd,HDFC,Android,4G,0,2024,6,June,Q2,23-06-2024
457,31-05-2024 10:06,Bill Payment,Fuel,3218,SUCCESS,26-35,46-55,Telangana,Axis,Kotak,Android,3G,0,2024,5,May,Q2,31-05-2024
458,05-09-2024 19:36,P2P,Grocery,1363,SUCCESS,36-45,18-25,West Bengal,Axis,IndusInd,Android,WiFi,0,2024,9,September,Q3,05-09-2024
459,19-02-2024 15:37,P2P,Transport,271,SUCCESS,36-45,26-35,Uttar Pradesh,ICICI,PNB,Android,WiFi,0,2024,2,February,Q1,19-02-2024
460,03-01-2024 12:07,P2P,Grocery,747,SUCCESS,26-35,18-25,Maharashtra,ICICI,ICICI,Android,WiFi,0,2024,1,January,Q1,03-01-2024
461,26-08-2024 17:42,P2P,Grocery,2734,SUCCESS,26-35,26-35,Uttar Pradesh,Kotak,HDFC,Android,4G,0,2024,8,August,Q3,26-08-2024
462,15-10-2024 20:18,Bill Payment,Utilities,3603,FAILED,18-25,46-55,Delhi,Kotak,PNB,Android,5G,0,2024,10,October,Q4,15-10-2024
463,27-12-2024 20:35,P2P,Transport,34,SUCCESS,56+,56+,West Bengal,HDFC,ICICI,Android,4G,0,2024,12,December,Q4,27-12-2024
464,23-07-2024 18:35,P2P,Food,1559,SUCCESS,26-35,26-35,Tamil Nadu,SBI,PNB,Android,3G,0,2024,7,July,Q3,23-07-2024
465,01-10-2024 20:39,Bill Payment,Utilities,372,SUCCESS,46-55,46-55,Andhra Pradesh,IndusInd,IndusInd,Android,5G,0,2024,10,October,Q4,01-10-2024
466,01-09-2024 14:16,P2P,Shopping,498,SUCCESS,36-45,46-55,Rajasthan,SBI,Kotak,Android,4G,0,2024,9,September,Q3,01-09-2024
467,26-07-2024 23:51,Recharge,Entertainment,127,SUCCESS,46-55,26-35,Uttar Pradesh,Axis,ICICI,Android,4G,0,2024,7,July,Q3,26-07-2024
468,12-08-2024 20:17,P2P,Other,452,SUCCESS,26-35,46-55,Maharashtra,Axis,Kotak,Android,4G,0,2024,8,August,Q3,12-08-2024
469,21-07-2024 17:50,P2M,Shopping,2709,SUCCESS,26-35,26-35,Tamil Nadu,HDFC,Axis,Android,4G,0,2024,7,July,Q3,21-07-2024
470,11-04-2024 21:21,P2P,Grocery,198,SUCCESS,36-45,18-25,Delhi,SBI,Yes Bank,Android,4G,0,2024,4,April,Q2,11-04-2024
471,16-10-2024 18:35,Bill Payment,Grocery,1248,SUCCESS,26-35,18-25,Tamil Nadu,IndusInd,SBI,Android,4G,0,2024,10,October,Q4,16-10-2024
472,30-03-2024 23:10,P2P,Other,756,SUCCESS,46-55,36-45,Telangana,Kotak,IndusInd,Android,4G,0,2024,3,March,Q1,30-03-2024
473,03-10-2024 18:23,P2P,Other,227,SUCCESS,18-25,36-45,Telangana,PNB,Yes Bank,Android,4G,0,2024,10,October,Q4,03-10-2024
474,27-11-2024 07:55,P2M,Utilities,3388,SUCCESS,36-45,26-35,Andhra Pradesh,IndusInd,IndusInd,Android,5G,0,2024,11,November,Q4,27-11-2024
475,07-09-2024 17:13,Bill Payment,Grocery,2018,SUCCESS,26-35,18-25,West Bengal,SBI,SBI,Web,4G,0,2024,9,September,Q3,07-09-2024
476,22-03-2024 18:43,P2P,Food,1205,SUCCESS,46-55,36-45,Gujarat,ICICI,Yes Bank,Android,4G,0,2024,3,March,Q1,22-03-2024
477,20-09-2024 21:57,P2M,Food,572,SUCCESS,18-25,18-25,Karnataka,Kotak,PNB,Android,4G,0,2024,9,September,Q3,20-09-2024
478,01-09-2024 12:02,Bill Payment,Shopping,800,FAILED,18-25,26-35,Uttar Pradesh,PNB,Axis,Android,4G,0,2024,9,September,Q3,01-09-2024
479,09-04-2024 22:34,P2P,Shopping,881,FAILED,26-35,36-45,Maharashtra,SBI,HDFC,Android,5G,0,2024,4,April,Q2,09-04-2024
480,19-02-2024 18:44,P2M,Grocery,1537,SUCCESS,18-25,46-55,Maharashtra,IndusInd,SBI,Android,4G,0,2024,2,February,Q1,19-02-2024
481,05-02-2024 13:03,P2P,Other,1791,SUCCESS,18-25,46-55,Maharashtra,SBI,Yes Bank,Android,WiFi,0,2024,2,February,Q1,05-02-2024
482,01-01-2024 03:45,Bill Payment,Shopping,1122,SUCCESS,26-35,36-45,Maharashtra,Yes Bank,HDFC,Android,5G,0,2024,1,January,Q1,01-01-2024
483,04-06-2024 19:38,P2M,Other,753,SUCCESS,18-25,18-25,Andhra Pradesh,IndusInd,Axis,iOS,4G,0,2024,6,June,Q2,04-06-2024
484,21-06-2024 13:19,P2M,Transport,78,SUCCESS,18-25,36-45,Uttar Pradesh,IndusInd,SBI,Android,WiFi,0,2024,6,June,Q2,21-06-2024
485,08-10-2024 18:12,P2M,Shopping,308,SUCCESS,26-35,18-25,Delhi,Yes Bank,ICICI,Android,4G,0,2024,10,October,Q4,08-10-2024
486,01-12-2024 18:19,P2M,Shopping,1288,SUCCESS,26-35,18-25,West Bengal,SBI,PNB,Android,WiFi,0,2024,12,December,Q4,01-12-2024
487,14-06-2024 17:19,P2P,Entertainment,500,SUCCESS,18-25,26-35,Rajasthan,ICICI,HDFC,Android,5G,0,2024,6,June,Q2,14-06-2024
488,26-12-2024 12:33,P2P,Transport,124,SUCCESS,26-35,46-55,Delhi,SBI,Axis,Android,4G,0,2024,12,December,Q4,26-12-2024
489,25-03-2024 20:15,P2M,Grocery,244,SUCCESS,26-35,26-35,Maharashtra,SBI,SBI,iOS,5G,0,2024,3,March,Q1,25-03-2024
490,07-03-2024 08:50,P2P,Other,822,SUCCESS,18-25,26-35,Karnataka,IndusInd,HDFC,iOS,4G,0,2024,3,March,Q1,07-03-2024
491,18-10-2024 15:11,P2M,Food,585,SUCCESS,26-35,26-35,Uttar Pradesh,HDFC,SBI,iOS,4G,0,2024,10,October,Q4,18-10-2024
492,13-03-2024 07:00,Bill Payment,Utilities,1605,SUCCESS,18-25,26-35,Karnataka,Axis,SBI,Android,5G,0,2024,3,March,Q1,13-03-2024
493,09-11-2024 12:45,P2P,Entertainment,247,SUCCESS,18-25,26-35,Karnataka,Axis,PNB,iOS,5G,0,2024,11,November,Q4,09-11-2024
494,30-06-2024 19:33,P2P,Entertainment,893,SUCCESS,36-45,36-45,Maharashtra,PNB,ICICI,Android,4G,0,2024,6,June,Q2,30-06-2024
495,13-08-2024 21:14,P2P,Food,234,SUCCESS,26-35,36-45,Tamil Nadu,HDFC,SBI,Android,4G,0,2024,8,August,Q3,13-08-2024
496,06-02-2024 14:12,Bill Payment,Other,734,SUCCESS,26-35,26-35,Tamil Nadu,SBI,SBI,Android,5G,0,2024,2,February,Q1,06-02-2024
497,21-09-2024 09:07,Bill Payment,Other,1910,FAILED,18-25,18-25,Gujarat,HDFC,HDFC,Android,4G,0,2024,9,September,Q3,21-09-2024
498,01-05-2024 10:03,Bill Payment,Grocery,2462,SUCCESS,36-45,26-35,Maharashtra,Yes Bank,Yes Bank,Android,4G,0,2024,5,May,Q2,01-05-2024
499,29-07-2024 10:02,Bill Payment,Shopping,1131,SUCCESS,26-35,26-35,Maharashtra,HDFC,HDFC,Android,4G,0,2024,7,July,Q3,29-07-2024
500,19-08-2024 11:11,P2P,Utilities,1518,SUCCESS,26-35,18-25,Andhra Pradesh,PNB,Kotak,Android,4G,0,2024,8,August,Q3,19-08-2024
501,13-12-2024 07:57,P2P,Healthcare,334,SUCCESS,26-35,36-45,West Bengal,PNB,SBI,Android,4G,0,2024,12,December,Q4,13-12-2024
502,21-12-2024 15:03,P2P,Entertainment,283,SUCCESS,26-35,36-45,Maharashtra,Kotak,HDFC,Android,4G,0,2024,12,December,Q4,21-12-2024
503,31-01-2024 13:50,P2P,Food,388,SUCCESS,36-45,18-25,Karnataka,Kotak,Yes Bank,Android,WiFi,0,2024,1,January,Q1,31-01-2024
504,30-05-2024 18:00,P2P,Other,554,FAILED,18-25,36-45,Karnataka,SBI,Kotak,Android,4G,0,2024,5,May,Q2,30-05-2024
505,23-09-2024 15:13,P2M,Food,103,SUCCESS,36-45,36-45,Rajasthan,HDFC,Yes Bank,Android,5G,0,2024,9,September,Q3,23-09-2024
506,13-07-2024 09:45,P2P,Food,133,SUCCESS,18-25,26-35,Delhi,IndusInd,HDFC,Android,4G,0,2024,7,July,Q3,13-07-2024
507,09-01-2024 05:40,Bill Payment,Other,286,SUCCESS,36-45,18-25,Andhra Pradesh,SBI,ICICI,Android,WiFi,0,2024,1,January,Q1,09-01-2024
508,09-10-2024 20:37,P2P,Entertainment,218,SUCCESS,26-35,18-25,Maharashtra,Axis,HDFC,iOS,WiFi,0,2024,10,October,Q4,09-10-2024
509,28-10-2024 21:14,P2M,Food,119,SUCCESS,26-35,36-45,Maharashtra,Yes Bank,HDFC,Android,5G,0,2024,10,October,Q4,28-10-2024
510,27-10-2024 16:01,P2P,Transport,189,SUCCESS,18-25,56+,Rajasthan,HDFC,IndusInd,Android,5G,0,2024,10,October,Q4,27-10-2024
511,11-01-2024 21:58,P2M,Entertainment,661,SUCCESS,36-45,18-25,Tamil Nadu,HDFC,PNB,Android,5G,0,2024,1,January,Q1,11-01-2024
512,02-09-2024 19:06,P2P,Grocery,222,SUCCESS,36-45,56+,Maharashtra,PNB,SBI,Android,WiFi,0,2024,9,September,Q3,02-09-2024
513,13-09-2024 09:39,P2P,Grocery,1064,SUCCESS,18-25,36-45,Tamil Nadu,ICICI,Axis,Android,4G,0,2024,9,September,Q3,13-09-2024
514,02-01-2024 18:12,P2P,Food,476,SUCCESS,56+,18-25,Telangana,IndusInd,SBI,iOS,4G,0,2024,1,January,Q1,02-01-2024
515,28-06-2024 11:22,P2M,Fuel,4976,SUCCESS,46-55,36-45,Tamil Nadu,Kotak,SBI,Android,4G,0,2024,6,June,Q2,28-06-2024
516,30-08-2024 09:35,P2M,Fuel,4305,SUCCESS,26-35,18-25,Telangana,HDFC,Axis,Android,4G,0,2024,8,August,Q3,30-08-2024
517,08-02-2024 13:43,P2M,Food,497,SUCCESS,18-25,18-25,Maharashtra,Yes Bank,IndusInd,iOS,4G,0,2024,2,February,Q1,08-02-2024
518,20-03-2024 11:10,P2P,Food,265,SUCCESS,36-45,36-45,West Bengal,HDFC,SBI,iOS,5G,0,2024,3,March,Q1,20-03-2024
519,12-09-2024 02:30,P2M,Entertainment,1715,SUCCESS,26-35,26-35,Telangana,SBI,HDFC,iOS,5G,0,2024,9,September,Q3,12-09-2024
520,16-06-2024 08:16,Recharge,Shopping,166,SUCCESS,26-35,26-35,Uttar Pradesh,SBI,PNB,Android,4G,0,2024,6,June,Q2,16-06-2024
521,21-05-2024 18:45,Bill Payment,Other,432,SUCCESS,26-35,46-55,Karnataka,HDFC,PNB,Android,WiFi,0,2024,5,May,Q2,21-05-2024
522,12-02-2024 06:59,P2M,Shopping,9541,SUCCESS,18-25,36-45,Tamil Nadu,IndusInd,Axis,Android,4G,0,2024,2,February,Q1,12-02-2024
523,10-05-2024 13:25,Recharge,Grocery,1086,SUCCESS,56+,18-25,Delhi,ICICI,SBI,Android,5G,0,2024,5,May,Q2,10-05-2024
524,29-03-2024 18:04,Bill Payment,Fuel,473,SUCCESS,26-35,18-25,Rajasthan,Yes Bank,IndusInd,iOS,4G,0,2024,3,March,Q1,29-03-2024
525,26-01-2024 22:25,P2M,Shopping,646,SUCCESS,36-45,36-45,Delhi,SBI,SBI,Android,4G,0,2024,1,January,Q1,26-01-2024
526,16-08-2024 01:17,P2P,Utilities,2243,SUCCESS,18-25,18-25,Rajasthan,PNB,Axis,Android,4G,0,2024,8,August,Q3,16-08-2024
527,11-09-2024 10:40,P2P,Entertainment,123,SUCCESS,36-45,26-35,Uttar Pradesh,SBI,Yes Bank,Android,5G,0,2024,9,September,Q3,11-09-2024
528,19-05-2024 16:32,P2P,Healthcare,966,SUCCESS,56+,18-25,Maharashtra,IndusInd,PNB,Android,4G,0,2024,5,May,Q2,19-05-2024
529,15-08-2024 03:12,P2M,Education,3795,SUCCESS,46-55,26-35,Rajasthan,SBI,Axis,Android,5G,0,2024,8,August,Q3,15-08-2024
530,15-09-2024 23:27,P2P,Utilities,3474,SUCCESS,18-25,26-35,Delhi,Axis,Axis,Android,5G,0,2024,9,September,Q3,15-09-2024
531,14-01-2024 19:41,Recharge,Shopping,6859,SUCCESS,26-35,26-35,West Bengal,HDFC,Kotak,Android,4G,0,2024,1,January,Q1,14-01-2024
532,19-08-2024 16:33,P2P,Grocery,248,SUCCESS,26-35,26-35,Karnataka,PNB,Kotak,Android,4G,0,2024,8,August,Q3,19-08-2024
533,10-12-2024 12:35,Recharge,Transport,73,SUCCESS,18-25,46-55,Tamil Nadu,HDFC,ICICI,Web,4G,0,2024,12,December,Q4,10-12-2024
534,25-10-2024 15:55,P2M,Grocery,909,FAILED,26-35,36-45,Maharashtra,PNB,IndusInd,Android,4G,0,2024,10,October,Q4,25-10-2024
535,23-08-2024 11:58,Bill Payment,Grocery,375,SUCCESS,46-55,18-25,West Bengal,IndusInd,Axis,iOS,4G,0,2024,8,August,Q3,23-08-2024
536,02-01-2024 22:04,P2M,Utilities,293,SUCCESS,36-45,56+,Delhi,SBI,SBI,iOS,4G,0,2024,1,January,Q1,02-01-2024
537,12-04-2024 10:32,P2M,Other,444,SUCCESS,26-35,56+,Karnataka,PNB,IndusInd,Android,5G,0,2024,4,April,Q2,12-04-2024
538,22-08-2024 22:38,P2M,Fuel,2065,SUCCESS,18-25,26-35,Uttar Pradesh,ICICI,Yes Bank,Android,5G,0,2024,8,August,Q3,22-08-2024
539,08-02-2024 15:31,P2P,Utilities,4001,SUCCESS,26-35,46-55,Tamil Nadu,IndusInd,IndusInd,Android,4G,0,2024,2,February,Q1,08-02-2024
540,17-12-2024 14:41,P2P,Shopping,631,SUCCESS,18-25,36-45,Uttar Pradesh,Kotak,PNB,Android,3G,0,2024,12,December,Q4,17-12-2024
541,20-01-2024 14:25,P2M,Transport,337,SUCCESS,56+,26-35,Karnataka,SBI,IndusInd,Android,5G,0,2024,1,January,Q1,20-01-2024
